X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,QualityOfLife,CODE_DEFINED,LAT,LONG,ObjectId
-8476895.46656631,5319711.78431415,2024/02/08 00:00:00+00,1404,1404,300 ERIE BLVD E ,False,SIMPLE ASSAULT,43.050829278,-76.149247595,69
-8474983.23638347,5318866.04592938,2024/02/08 00:00:00+00,1534,1544,1000 MADISON ST     ,False,CRIMINAL MISCHIEF,43.0452772410001,-76.132069739,70
-8475847.99524233,5313772.36247573,2024/04/23 00:00:00+00,2052,2052,200 BENNINGTON DR     ,False,CRIMINAL MISCHIEF,43.011828,-76.1398379999999,71
-8479443.76541023,5318212.59218774,2024/02/08 00:00:00+00,1706,1715,100 GRAND AVE    ,False,SIMPLE ASSAULT,43.040987155,-76.172139353,72
-8471858.51441823,5320115.25642467,2024/02/08 00:00:00+00,1731,1731,2500 ERIE BLVD E ,False,OFFN AGAINST FAMILY,43.0534777830001,-76.103999884,73
-8477266.650833,5321857.03540366,2024/04/24 00:00:00+00,212,212,700 N  ALVORD ST     ,False,CRIMINAL MISCHIEF,43.0649100000001,-76.1525819999999,74
-8476998.42763313,5321366.3183482,2024/02/09 00:00:00+00,446,446,600 E  DIVISION ST     ,False,ALL OTHER OFFENSES,43.0616893800001,-76.1501725099999,75
-8476738.16143914,5315782.59678606,2024/04/24 00:00:00+00,230,230,300 W  COLVIN ST     ,True,CRIMINAL MISCHIEF,43.0250310000001,-76.1478344989999,76
-8472011.21815423,5322454.39923438,2024/02/09 00:00:00+00,3,3,100 S  MIDLER AVE    ,False,SIMPLE ASSAULT,43.068830324,-76.1053716449999,77
-8479122.98293542,5317502.05369699,2024/02/09 00:00:00+00,851,851,200 FITCH ST     ,False,SIMPLE ASSAULT,43.036321953,-76.169257715,78
-8477382.0499605,5318739.12727371,2024/02/09 00:00:00+00,1248,1248,100 DICKERSON ST     ,False,SIMPLE ASSAULT,43.044444012,-76.153618648,79
-8476707.42635038,5319200.73520718,2024/02/23 00:00:00+00,1458,1400,500 S  STATE ST     ,False,OFFN AGAINST FAMILY,43.0474744430001,-76.147558401,80
